T_max_ms,idle_ratio_mean,idle_ratio_std
1.0,0.15442327432342856,0.001604065483640474
2.0,0.08458786245813096,0.0009514386412342908
3.0,0.05824674986380602,0.0006740668617044031
4.0,0.04441552326757669,0.0005215766237491789
5.0,0.0358925163285041,0.00042526146303833746
6.0,0.03011388694511011,0.0003589406623686698
7.0,0.025937928201852752,0.00031050108562022535
8.0,0.02277910047327628,0.0002735742035396362
9.0,0.020306135681014564,0.00024449338794120756
10.0,0.018317531680965008,0.00022099901889552045
