group_size,series,idle_pct
2,Theoretical IPOF*,9.39113771429434
3,Theoretical IPOF*,9.39113771429434
4,Theoretical IPOF*,9.39113771429434
5,Theoretical IPOF*,9.39113771429434
6,Theoretical IPOF*,9.39113771429434
7,Theoretical IPOF*,9.39113771429434
8,Theoretical IPOF*,9.39113771429434
2,ONLINE MO**,11.430642786803896
3,ONLINE MO**,7.56912884497192
4,ONLINE MO**,5.719241906283635
5,ONLINE MO**,4.557995567375233
6,ONLINE MO**,3.7992615277414243
7,ONLINE MO**,3.239866509919586
8,ONLINE MO**,2.8503136271269334
2,IPOF1,75.8095715667984
3,IPOF1,67.45664158316534
4,IPOF1,61.033060170412924
5,IPOF1,55.50177120994425
6,IPOF1,50.96597432485508
7,IPOF1,46.984738080388354
8,IPOF1,43.80476566789413
2,IPOF2,73.28641018530107
3,IPOF2,64.46727216279041
4,IPOF2,57.82053764620031
5,IPOF2,52.18925600348051
6,IPOF2,47.633246388809816
7,IPOF2,43.67911907609333
8,IPOF2,40.5514764383123
2,IPOF3,70.17461948309361
3,IPOF3,60.87214189514557
4,IPOF3,54.029796543538765
5,IPOF3,48.34306385058578
6,IPOF3,43.81376709532373
7,IPOF3,39.93341198412439
8,IPOF3,36.89795779610246
2,IPOF4,67.6625651427448
3,IPOF4,58.04115623262208
4,IPOF4,51.09924597431673
5,IPOF4,45.41502948489705
6,IPOF4,40.941590693708235
7,IPOF4,37.146314529986284
8,IPOF4,34.2018555940123
2,IPOF5,64.68735684864242
3,IPOF5,54.76757833603646
4,IPOF5,47.768792955477856
5,IPOF5,42.134426941260266
6,IPOF5,37.75942116230707
7,IPOF5,34.087655327906894
8,IPOF5,31.264796709043104
2,IPOL1,52.931311107846255
3,IPOL1,42.62079232387563
4,IPOL1,35.932896863671985
5,IPOL1,30.865799664503314
6,IPOL1,27.109713654829694
7,IPOL1,24.070041450161774
8,IPOL1,21.80197002668698
2,IPOL2,48.85787698043287
3,IPOL2,38.68459753947839
4,IPOL2,32.265387749674545
5,IPOL2,27.492948664849138
6,IPOL2,24.00430513284336
7,IPOL2,21.21093384282721
8,IPOL2,19.144408652148144
2,IPOL3,42.441328622364736
3,IPOL3,32.74534343618674
4,IPOL3,26.878756220594795
5,IPOL3,22.636820630964188
6,IPOL3,19.597711828542685
7,IPOL3,17.200712454583524
8,IPOL3,15.448598512998451
2,IPOL4,41.77356018084916
3,IPOL4,32.13507970337322
4,IPOL4,26.330716468069486
5,IPOL4,22.14683897192279
6,IPOL4,19.155875957439314
7,IPOL4,16.800730402869803
8,IPOL4,15.081379388762858
2,IPOL5,38.51475492988513
3,IPOL5,29.241267655143595
4,IPOL5,23.7728457822637
5,IPOL5,19.884042695478463
6,IPOL5,17.13040601430312
7,IPOL5,14.977386671932432
8,IPOL5,13.41425725003024
